component	source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	n_markers	marker_names	marker_ids	dominant_module
4	hca	0164_10.1177_00220345221147908_13bf485ac8	hca:0164_10.1177_00220345221147908_13bf485ac8	T CELL	T CELL	3	CD3D;CD3E;CD3G	ENSG00000167286;ENSG00000198851;ENSG00000289746	Other
4	hca	0291_10.1016_j.cell.2019.06.024_7d6cf2f1e2	hca:0291_10.1016_j.cell.2019.06.024_7d6cf2f1e2	T CELLS	T CELLS	4	CD2;CD3D;CD3E;CD3G	ENSG00000116824;ENSG00000167286;ENSG00000198851;ENSG00000289746	Other
4	hca	0293_10.1172_jci.insight.150861_5764a5bfad	hca:0293_10.1172_jci.insight.150861_5764a5bfad	T CELL	T CELL	3	GZMK;CD3D;CD3E	ENSG00000113088;ENSG00000167286;ENSG00000198851	Cytotoxic
4	hca	0343_10.1038_s41597-019-0351-8_0cf4fb36a1	hca:0343_10.1038_s41597-019-0351-8_0cf4fb36a1	T CELL	T CELL	3	CD3D;IL7R;CD3E	ENSG00000167286;ENSG00000168685;ENSG00000198851	Naive/memory
4	hca	0410_10.3389_fcell.2021.820274_b0973e038f	hca:0410_10.3389_fcell.2021.820274_b0973e038f	T CELL	T CELL	3	NKG7;CD3D;TRAC	ENSG00000105374;ENSG00000167286;ENSG00000277734	Cytotoxic
4	hca	0418_10.1038_s42003-020-0922-4_8904851286	hca:0418_10.1038_s42003-020-0922-4_8904851286	T CELL	T CELL	4	CD3D;LCK;CD3E;CD3G	ENSG00000167286;ENSG00000182866;ENSG00000198851;ENSG00000289746	Other
4	hca	0481_10.1016_j.immuni.2023.01.002_2da3d3f446	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	T CELL	T CELL	3	CD3D;CD3E;CD3G	ENSG00000167286;ENSG00000198851;ENSG00000289746	Other
5	biorxiv	a0900ed8-7609-1014-846c-dd411913591f	biorxiv:a0900ed8-7609-1014-846c-dd411913591f	T CELL	T CELL	3	CD2;CD8A;CD3E	ENSG00000116824;ENSG00000153563;ENSG00000198851	Other
5	biorxiv	a6ffed23-717d-1014-ae02-d2e67f78dddd	biorxiv:a6ffed23-717d-1014-ae02-d2e67f78dddd	T CELL	T CELL	3	CD4;CD8A;CD3D	ENSG00000010610;ENSG00000153563;ENSG00000167286	Other
5	biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	T CELL	T CELL	6	CD4;TBX21;TCF7;CD8A;EOMES;CD3E	ENSG00000010610;ENSG00000073861;ENSG00000081059;ENSG00000153563;ENSG00000163508;ENSG00000198851	Naive/memory
5	biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	T CELL CLUSTER	T CELL CLUSTER	3	CD4;CD8A;CD3E	ENSG00000010610;ENSG00000153563;ENSG00000198851	Other
5	biorxiv	ba2fe3cc-7145-1014-8950-ece91a9c7114	biorxiv:ba2fe3cc-7145-1014-8950-ece91a9c7114	T-CELL	T CELL	3	CD4;CD8A;CD3E	ENSG00000010610;ENSG00000153563;ENSG00000198851	Other
5	hca	0086_10.1186_s13059-018-1603-1_27b7304530	hca:0086_10.1186_s13059-018-1603-1_27b7304530	T CELL	T CELL	3	CD4;CD8A;T	ENSG00000010610;ENSG00000153563;ENSG00000164458	Other
5	hca	0184_10.1016_j.cell.2021.07.023_f621bea088	hca:0184_10.1016_j.cell.2021.07.023_f621bea088	T CELL	T CELL	3	CD2;CD3E;TRBC2	ENSG00000116824;ENSG00000198851;ENSG00000211772	Other
5	hca	0215_10.1038_s42003-020-01625-6_cc9e14f4ea	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	T CELL	T CELL	4	CD4;CD8A;IL7R;CD3E	ENSG00000010610;ENSG00000153563;ENSG00000168685;ENSG00000198851	Naive/memory
5	hca	0243_10.1038_s41586-023-05915-x_2f4aafa6a2	hca:0243_10.1038_s41586-023-05915-x_2f4aafa6a2	CD4+ AND CD8+ T CELL	CD 4 AND CD 8 T CELL	5	CD4;CD2;CD8A;IL7R;CD3E	ENSG00000010610;ENSG00000116824;ENSG00000153563;ENSG00000168685;ENSG00000198851	Naive/memory
6	biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM)	CD 4 TISSUE RESIDENT MEMORY T CELL TRM	3	ITGAE;CD69;CXCR6	ENSG00000083457;ENSG00000110848;ENSG00000172215	Residency
6	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD8.4	CD 8 4	6	ITGAE;CD69;KLRC1;CXCR6;ZNF683;ITGA1	ENSG00000083457;ENSG00000110848;ENSG00000134545;ENSG00000172215;ENSG00000176083;ENSG00000213949	Residency
6	hca	0151_10.1038_s41586-022-04718-w_1bf3167cbc	hca:0151_10.1038_s41586-022-04718-w_1bf3167cbc	CD8+ T CELL	CD 8 T CELL	3	ITGAE;CD69;PDCD1	ENSG00000083457;ENSG00000110848;ENSG00000188389	Residency
6	hca	0508_10.1016_j.devcel.2022.07.004_cfe769c9cf	hca:0508_10.1016_j.devcel.2022.07.004_cfe769c9cf	TISSUE RESIDENT MEMORY T (TRM) CELL	TISSUE RESIDENT MEMORY T TRM CELL	3	CD69;ZNF683;ITGA1	ENSG00000110848;ENSG00000176083;ENSG00000213949	Residency
7	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.7	CD 4 7	7	GZMH;IFNG;GZMA;PRF1;CCL5;CCL3;CCL4	ENSG00000100450;ENSG00000111537;ENSG00000145649;ENSG00000180644;ENSG00000271503;ENSG00000274221;ENSG00000275302	Cytotoxic
7	hca	0264_10.1186_s13059-022-02677-z_ec9d743757	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CD8+GZMB	CD 8 GZMB	5	GZMH;IFNG;GZMA;PRF1;CCL4	ENSG00000100450;ENSG00000111537;ENSG00000145649;ENSG00000180644;ENSG00000275302	Cytotoxic
7	hca	0264_10.1186_s13059-022-02677-z_ec9d743757	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CD8+GZMK	CD 8 GZMK	6	GZMH;IFNG;KLRG1;GZMA;EOMES;CCL4	ENSG00000100450;ENSG00000111537;ENSG00000139187;ENSG00000145649;ENSG00000163508;ENSG00000275302	Cytotoxic
7	hca	0366_10.1038_s41467-021-22164-6_097f05776f	hca:0366_10.1038_s41467-021-22164-6_097f05776f	EFFECTOR CD8+ T CELLS	EFFECTOR CD 8 T CELLS	12	TBX21;GZMH;GZMB;IFNG;GZMK;KLRG1;GZMA;EOMES;PRF1;CCL5;CCL3;CCL4	ENSG00000073861;ENSG00000100450;ENSG00000100453;ENSG00000111537;ENSG00000113088;ENSG00000139187;ENSG00000145649;ENSG00000163508;ENSG00000180644;ENSG00000271503;ENSG00000274221;ENSG00000275302	Cytotoxic
