cluster	profile_idx	profile_uid	paper_key	cell_type	normalized_cell_type	marker_names	marker_ids
2	202	biorxiv|380e1251-6c2c-1014-8b2d-a217f3491f5e|TREG	biorxiv:380e1251-6c2c-1014-8b2d-a217f3491f5e	TREG	TREG	IL2RA;RORC;IL7R	ENSG00000134460;ENSG00000143365;ENSG00000168685
2	306	biorxiv|5a3c7d4e-70da-1014-80b6-cd48bfa975fe|H-CD8TCD27,LAG3	biorxiv:5a3c7d4e-70da-1014-80b6-cd48bfa975fe	H-CD8TCD27,LAG3	H CD 8 TCD 27 LAG 3	LAG3;CD27;CTLA4;CXCR3;PDCD1;TOX	ENSG00000089692;ENSG00000139193;ENSG00000163599;ENSG00000186810;ENSG00000188389;ENSG00000198846
2	355	biorxiv|6f28f2e1-6c20-1014-910c-d12c701e7668|DYSFUNCTIONAL	biorxiv:6f28f2e1-6c20-1014-910c-d12c701e7668	DYSFUNCTIONAL	DYSFUNCTIONAL	LAG3;HAVCR2;CXCL13;CTLA4	ENSG00000089692;ENSG00000135077;ENSG00000156234;ENSG00000163599
2	368	biorxiv|72d8cdf5-6fa5-1014-b805-ea9c7c557043|EXHAUSTED CD8 T CELL	biorxiv:72d8cdf5-6fa5-1014-b805-ea9c7c557043	EXHAUSTED CD8 T CELL	EXHAUSTED CD 8 T CELL	CXCL13;PDCD1;TOX	ENSG00000156234;ENSG00000188389;ENSG00000198846
2	419	biorxiv|8060bfa3-6d4f-1014-b2ea-be74caad434f|CD4+ T CELL	biorxiv:8060bfa3-6d4f-1014-b2ea-be74caad434f	CD4+ T CELL	CD 4 T CELL	HAVCR2;CTLA4;TIGIT;PDCD1	ENSG00000135077;ENSG00000163599;ENSG00000181847;ENSG00000188389
2	485	biorxiv|96c0ca44-7598-1014-bd6e-c97aae1f298a|TEX	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TEX	TEX	IFNG;HAVCR2;CXCL13;PRF1;CXCR3;PDCD1	ENSG00000111537;ENSG00000135077;ENSG00000156234;ENSG00000180644;ENSG00000186810;ENSG00000188389
2	487	biorxiv|96c0ca44-7598-1014-bd6e-c97aae1f298a|TREG	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TREG	TREG	FOXP3;BATF;CTLA4;ICOS	ENSG00000049768;ENSG00000156127;ENSG00000163599;ENSG00000163600
2	536	biorxiv|9e5c18fc-76e5-1014-9f81-96148d260e0f|REGULATORY T CELL	biorxiv:9e5c18fc-76e5-1014-9f81-96148d260e0f	REGULATORY T CELL	REGULATORY T CELL	FOXP3;IL2RA;IL7R	ENSG00000049768;ENSG00000134460;ENSG00000168685
2	598	biorxiv|ab05f819-6c04-1014-81aa-9646e853264a|EXHAUSTED T CELL	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	EXHAUSTED T CELL	EXHAUSTED T CELL	CD38;CD101;HAVCR2;CTLA4;PDCD1	ENSG00000004468;ENSG00000134256;ENSG00000135077;ENSG00000163599;ENSG00000188389
2	748	biorxiv|d2042444-7138-1014-94ac-a1f590fd3173|CD8+ PROLIFERATING T CELL	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	CD8+ PROLIFERATING T CELL	CD 8 PROLIFERATING T CELL	SIRPG;LAG3;HAVCR2;TIGIT	ENSG00000089012;ENSG00000089692;ENSG00000135077;ENSG00000181847
2	761	biorxiv|d2042444-7138-1014-94ac-a1f590fd3173|TREG	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	TREG	TREG	IL2RA;CTLA4;TIGIT;TNFRSF4;TNFRSF18	ENSG00000134460;ENSG00000163599;ENSG00000181847;ENSG00000186827;ENSG00000186891
2	804	biorxiv|de6d33dd-734f-1014-a302-e21bedf0ba65|EXHAUSTION-LIKE CD8+ CAR-T CELL	biorxiv:de6d33dd-734f-1014-a302-e21bedf0ba65	EXHAUSTION-LIKE CD8+ CAR-T CELL	EXHAUSTION LIKE CD 8 CAR T CELL	TNFRSF9;HAVCR2;CTLA4;TIGIT;CCL3	ENSG00000049249;ENSG00000135077;ENSG00000163599;ENSG00000181847;ENSG00000274221
2	805	biorxiv|e2efdcad-73c4-1014-9c6c-8a89f519fd2d|CD4.10	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.10	CD 4 10	LAG3;CXCL13;CTLA4;TIGIT;PDCD1;TOX	ENSG00000089692;ENSG00000156234;ENSG00000163599;ENSG00000181847;ENSG00000188389;ENSG00000198846
2	806	biorxiv|e2efdcad-73c4-1014-9c6c-8a89f519fd2d|CD4.4	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.4	CD 4 4	IKZF2;FOXP3;IL2RA;CTLA4	ENSG00000030419;ENSG00000049768;ENSG00000134460;ENSG00000163599
2	940	biorxiv|fc7595eb-733c-1014-9892-ed444a916a2a|ILC3	biorxiv:fc7595eb-733c-1014-9892-ed444a916a2a	ILC3	ILC 3	NRP1;IL22;RORC;KIT;IL23R;IL7R	ENSG00000099250;ENSG00000127318;ENSG00000143365;ENSG00000157404;ENSG00000162594;ENSG00000168685
2	1154	hca|0047_10.15252_embj.2020107333_a4d0f57474|TREG	hca:0047_10.15252_embj.2020107333_a4d0f57474	TREG	TREG	FOXP3;HAVCR2;CTLA4;TIGIT	ENSG00000049768;ENSG00000135077;ENSG00000163599;ENSG00000181847
2	1155	hca|0047_10.15252_embj.2020107333_a4d0f57474|TREG SUBSET	hca:0047_10.15252_embj.2020107333_a4d0f57474	TREG SUBSET	TREG SUBSET	LAG3;HAVCR2;BATF;CTLA4;TIGIT	ENSG00000089692;ENSG00000135077;ENSG00000156127;ENSG00000163599;ENSG00000181847
2	1457	hca|0098_10.1038_s41586-020-03148-w_f50cb505c0|TREG	hca:0098_10.1038_s41586-020-03148-w_f50cb505c0	TREG	TREG	FOXP3;IL2RA;IL7R	ENSG00000049768;ENSG00000134460;ENSG00000168685
2	1458	hca|0099_10.1126_sciimmunol.abl9165_5f9974d5f2|CMTREG	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	CMTREG	CMTREG	IKZF2;FOXP3;CCR7;IL2RA;CTLA4;TIGIT;SELL	ENSG00000030419;ENSG00000049768;ENSG00000126353;ENSG00000134460;ENSG00000163599;ENSG00000181847;ENSG00000188404
2	1463	hca|0099_10.1126_sciimmunol.abl9165_5f9974d5f2|ETREG1	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	ETREG1	ETREG 1	IKZF2;FOXP3;PRDM1;IL2RA;CTLA4;TIGIT;TNFRSF18	ENSG00000030419;ENSG00000049768;ENSG00000057657;ENSG00000134460;ENSG00000163599;ENSG00000181847;ENSG00000186891
2	1464	hca|0099_10.1126_sciimmunol.abl9165_5f9974d5f2|ETREG2	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	ETREG2	ETREG 2	IKZF2;FOXP3;PRDM1;IL2RA;CTLA4;TIGIT;TNFRSF18	ENSG00000030419;ENSG00000049768;ENSG00000057657;ENSG00000134460;ENSG00000163599;ENSG00000181847;ENSG00000186891
2	1516	hca|0109_10.7554_elife.91792.1_056dda27be|CD.T.MKI67.FOXP3	hca:0109_10.7554_elife.91792.1_056dda27be	CD.T.MKI67.FOXP3	CD T MKI 67 FOXP 3	FOXP3;IL2RA;BATF;CTLA4	ENSG00000049768;ENSG00000134460;ENSG00000156127;ENSG00000163599
2	1525	hca|0109_10.7554_elife.91792.1_056dda27be|ILCS	hca:0109_10.7554_elife.91792.1_056dda27be	ILCS	ILCS	NCR2;RORC;KIT	ENSG00000096264;ENSG00000143365;ENSG00000157404
2	1591	hca|0124_10.1126_science.aba6500_a77c502bf7|FETAL SKIN ILCS	hca:0124_10.1126_science.aba6500_a77c502bf7	FETAL SKIN ILCS	FETAL SKIN ILCS	RORC;KIT;IL7R	ENSG00000143365;ENSG00000157404;ENSG00000168685
2	1602	hca|0124_10.1126_science.aba6500_a77c502bf7|TREG	hca:0124_10.1126_science.aba6500_a77c502bf7	TREG	TREG	FOXP3;CTLA4;TIGIT	ENSG00000049768;ENSG00000163599;ENSG00000181847
2	1637	hca|0139_10.1038_s41590-020-0602-z_71058e050d|KLRB1+ (ALSO KNOWN AS CD161) T REG CELLS	hca:0139_10.1038_s41590-020-0602-z_71058e050d	KLRB1+ (ALSO KNOWN AS CD161) T REG CELLS	KLRB 1 ALSO KNOWN AS CD 161 T REG CELLS	FOXP3;LAG3;KLRB1;IL2RA;CTLA4;ICOS	ENSG00000049768;ENSG00000089692;ENSG00000111796;ENSG00000134460;ENSG00000163599;ENSG00000163600
2	1704	hca|0151_10.1038_s41586-022-04718-w_1bf3167cbc|CD4+ T REG	hca:0151_10.1038_s41586-022-04718-w_1bf3167cbc	CD4+ T REG	CD 4 T REG	HAVCR2;ICOS;PDCD1	ENSG00000135077;ENSG00000163600;ENSG00000188389
2	1709	hca|0151_10.1038_s41586-022-04718-w_1bf3167cbc|T REG CELL	hca:0151_10.1038_s41586-022-04718-w_1bf3167cbc	T REG CELL	T REG CELL	FOXP3;IL1R1;IL2RA	ENSG00000049768;ENSG00000115594;ENSG00000134460
2	1929	hca|0215_10.1038_s42003-020-01625-6_cc9e14f4ea|CD4_5	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_5	CD 4 5	FOXP3;IL2RA;CTLA4;CCR8;TIGIT;TNFRSF18;LAYN	ENSG00000049768;ENSG00000134460;ENSG00000163599;ENSG00000179934;ENSG00000181847;ENSG00000186891;ENSG00000204381
2	1930	hca|0215_10.1038_s42003-020-01625-6_cc9e14f4ea|CD8_0	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD8_0	CD 8 0	IFNG;HAVCR2;CTLA4;PRF1;TIGIT;PDCD1	ENSG00000111537;ENSG00000135077;ENSG00000163599;ENSG00000180644;ENSG00000181847;ENSG00000188389
2	2093	hca|0264_10.1186_s13059-022-02677-z_ec9d743757|CD8+ GZMB	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CD8+ GZMB	CD 8 GZMB	LAG3;HAVCR2;CD96;CXCL13	ENSG00000089692;ENSG00000135077;ENSG00000153283;ENSG00000156234
2	2098	hca|0264_10.1186_s13059-022-02677-z_ec9d743757|FOXP3 CD4+ TREG	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	FOXP3 CD4+ TREG	FOXP 3 CD 4 TREG	FOXP3;LAG3;CTLA4	ENSG00000049768;ENSG00000089692;ENSG00000163599
2	2372	hca|0319_10.1016_j.cell.2018.05.060_d1a05e99e8|EXHAUSTED T-CELL, T-REGULATORY CELL	hca:0319_10.1016_j.cell.2018.05.060_d1a05e99e8	EXHAUSTED T-CELL, T-REGULATORY CELL	EXHAUSTED T CELL T REGULATORY CELL	FOXP3;LAG3;CTLA4;TIGIT;TNFRSF4;PDCD1	ENSG00000049768;ENSG00000089692;ENSG00000163599;ENSG00000181847;ENSG00000186827;ENSG00000188389
2	2419	hca|0339_10.7150_thno.65694_e762e5f2bb|CD8+ T CELL SUBCLUSTER	hca:0339_10.7150_thno.65694_e762e5f2bb	CD8+ T CELL SUBCLUSTER	CD 8 T CELL SUBCLUSTER	CD44;CD96;CTLA4;TIGIT;PDCD1	ENSG00000026508;ENSG00000153283;ENSG00000163599;ENSG00000181847;ENSG00000188389
2	2448	hca|0349_10.1038_s41467-023-36296-4_67ae3c1e19|CTLA4+ CD8+ T CELL	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	CTLA4+ CD8+ T CELL	CTLA 4 CD 8 T CELL	LAG3;HAVCR2;CTLA4;TIGIT	ENSG00000089692;ENSG00000135077;ENSG00000163599;ENSG00000181847
2	2633	hca|0372_10.1016_j.ccell.2021.10.009_d6ab4790aa|T ACTIVATED	hca:0372_10.1016_j.ccell.2021.10.009_d6ab4790aa	T ACTIVATED	T ACTIVATED	TNFRSF9;LAG3;GZMB;IFNG;HAVCR2;CXCL13;PDCD1	ENSG00000049249;ENSG00000089692;ENSG00000100453;ENSG00000111537;ENSG00000135077;ENSG00000156234;ENSG00000188389
2	2678	hca|0379_10.1038_s41698-022-00300-9_7bb9a273c6|TEX01	hca:0379_10.1038_s41698-022-00300-9_7bb9a273c6	TEX01	TEX 01	HAVCR2;CTLA4;PDCD1;LAYN	ENSG00000135077;ENSG00000163599;ENSG00000188389;ENSG00000204381
2	2679	hca|0379_10.1038_s41698-022-00300-9_7bb9a273c6|TEX03	hca:0379_10.1038_s41698-022-00300-9_7bb9a273c6	TEX03	TEX 03	HAVCR2;CTLA4;PDCD1;LAYN	ENSG00000135077;ENSG00000163599;ENSG00000188389;ENSG00000204381
2	2680	hca|0379_10.1038_s41698-022-00300-9_7bb9a273c6|TREG	hca:0379_10.1038_s41698-022-00300-9_7bb9a273c6	TREG	TREG	TNFRSF9;CD80;CTLA4;TIGIT	ENSG00000049249;ENSG00000121594;ENSG00000163599;ENSG00000181847
2	2686	hca|0382_10.1371_journal.pbio.3002124_f92c982127|REGULATORY T CELLS	hca:0382_10.1371_journal.pbio.3002124_f92c982127	REGULATORY T CELLS	REGULATORY T CELLS	CCR7;IL2RA;CTLA4;ICOS;TIGIT;SOCS1;TNFRSF4;SELL	ENSG00000126353;ENSG00000134460;ENSG00000163599;ENSG00000163600;ENSG00000181847;ENSG00000185338;ENSG00000186827;ENSG00000188404
2	2697	hca|0384_10.1038_s41422-021-00529-2_d6c8237ebe|GROUP 3 ILC	hca:0384_10.1038_s41422-021-00529-2_d6c8237ebe	GROUP 3 ILC	GROUP 3 ILC	RORC;KIT;IL7R	ENSG00000143365;ENSG00000157404;ENSG00000168685
2	2707	hca|0384_10.1038_s41422-021-00529-2_d6c8237ebe|LP1	hca:0384_10.1038_s41422-021-00529-2_d6c8237ebe	LP1	LP 1	IL7R;CD7;IL3RA	ENSG00000168685;ENSG00000173762;ENSG00000185291
2	2793	hca|0402_10.1016_j.cell.2021.04.038_26e3dc6d2f|CD8 T CELL	hca:0402_10.1016_j.cell.2021.04.038_26e3dc6d2f	CD8 T CELL	CD 8 T CELL	LAG3;TOX2;PDCD1	ENSG00000089692;ENSG00000124191;ENSG00000188389
2	2823	hca|0405_10.1016_j.ccell.2021.03.007_50f32173d6|CD4 + TREG	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6	CD4 + TREG	CD 4 TREG	FOXP3;BATF;CTLA4;TIGIT	ENSG00000049768;ENSG00000156127;ENSG00000163599;ENSG00000181847
2	2824	hca|0405_10.1016_j.ccell.2021.03.007_50f32173d6|CD8A + EXHAUSTED	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6	CD8A + EXHAUSTED	CD 8 A EXHAUSTED	LAG3;HAVCR2;PDCD1;TOX	ENSG00000089692;ENSG00000135077;ENSG00000188389;ENSG00000198846
2	2893	hca|0420_10.1111_cas.15979_052ebae233|EXHAUSTED CD8+ T CELL	hca:0420_10.1111_cas.15979_052ebae233	EXHAUSTED CD8+ T CELL	EXHAUSTED CD 8 T CELL	LAG3;HAVCR2;CTLA4;TIGIT;PDCD1;LAYN	ENSG00000089692;ENSG00000135077;ENSG00000163599;ENSG00000181847;ENSG00000188389;ENSG00000204381
2	2934	hca|0426_10.1038_s41467-019-12464-3_0f8440336d|REGULATORY T CELL (TREG)	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	REGULATORY T CELL (TREG)	REGULATORY T CELL TREG	FOXP3;IL2RA;CTLA4	ENSG00000049768;ENSG00000134460;ENSG00000163599
2	2969	hca|0432_10.1172_jci.insight.156341_02dc39adcf|TPH/TFH CLUSTER	hca:0432_10.1172_jci.insight.156341_02dc39adcf	TPH/TFH CLUSTER	TPH TFH CLUSTER	LAG3;CXCL13;MAF;TNFRSF18;PDCD1;TOX	ENSG00000089692;ENSG00000156234;ENSG00000178573;ENSG00000186891;ENSG00000188389;ENSG00000198846
2	2970	hca|0432_10.1172_jci.insight.156341_02dc39adcf|TREG	hca:0432_10.1172_jci.insight.156341_02dc39adcf	TREG	TREG	FOXP3;CD27;CTLA4;ICOS;TIGIT	ENSG00000049768;ENSG00000139193;ENSG00000163599;ENSG00000163600;ENSG00000181847
2	3149	hca|0474_10.3389_fimmu.2021.689019_ff96e36403|TREG	hca:0474_10.3389_fimmu.2021.689019_ff96e36403	TREG	TREG	TNFRSF9;FOXP3;IL2RA;CTLA4;ICOS;CD28;TIGIT	ENSG00000049249;ENSG00000049768;ENSG00000134460;ENSG00000163599;ENSG00000163600;ENSG00000178562;ENSG00000181847
2	3160	hca|0479_10.1016_j.xcrm.2022.100657_bf09154d98|ILC3	hca:0479_10.1016_j.xcrm.2022.100657_bf09154d98	ILC3	ILC 3	AHR;RORC;KIT;IL7R	ENSG00000106546;ENSG00000143365;ENSG00000157404;ENSG00000168685
2	3329	hca|0506_10.1038_s41591-022-01680-y_160aaf8b86|TREG	hca:0506_10.1038_s41591-022-01680-y_160aaf8b86	TREG	TREG	IKZF2;FOXP3;IL2RA;BATF;CTLA4;TNFRSF4;TNFRSF18;LAYN	ENSG00000030419;ENSG00000049768;ENSG00000134460;ENSG00000156127;ENSG00000163599;ENSG00000186827;ENSG00000186891;ENSG00000204381
3	166	biorxiv|307b2bd7-6cb9-1014-a6b4-a58a7220bba3|NK T CELL	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3	NK T CELL	NK T CELL	GZMH;GNLY;KLRG1;GZMA	ENSG00000100450;ENSG00000115523;ENSG00000139187;ENSG00000145649
3	172	biorxiv|315fa881-726d-1014-9d3d-bbe9b5731a1d|CD4-CTLS	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	CD4-CTLS	CD 4 CTLS	GZMH;GZMB;NKG7;GNLY;GZMA	ENSG00000100450;ENSG00000100453;ENSG00000105374;ENSG00000115523;ENSG00000145649
3	173	biorxiv|315fa881-726d-1014-9d3d-bbe9b5731a1d|DNT	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	DNT	DNT	GZMK;GZMA;GZMM	ENSG00000113088;ENSG00000145649;ENSG00000197540
3	174	biorxiv|315fa881-726d-1014-9d3d-bbe9b5731a1d|MAIT	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	MAIT	MAIT	GZMH;GZMB;GZMK;GZMA;GZMM	ENSG00000100450;ENSG00000100453;ENSG00000113088;ENSG00000145649;ENSG00000197540
3	175	biorxiv|315fa881-726d-1014-9d3d-bbe9b5731a1d|NK-BRIGHT	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	NK-BRIGHT	NK BRIGHT	GZMH;NKG7;GZMK;GNLY;GZMA;PRF1	ENSG00000100450;ENSG00000105374;ENSG00000113088;ENSG00000115523;ENSG00000145649;ENSG00000180644
3	176	biorxiv|315fa881-726d-1014-9d3d-bbe9b5731a1d|NK-DIM	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	NK-DIM	NK DIM	GZMH;GZMB;NKG7;GNLY;GZMA;PRF1;GZMM	ENSG00000100450;ENSG00000100453;ENSG00000105374;ENSG00000115523;ENSG00000145649;ENSG00000180644;ENSG00000197540
3	208	biorxiv|39623bbc-6d42-1014-9e37-a92d75e9c8ca|CD8+ T CELLS	biorxiv:39623bbc-6d42-1014-9e37-a92d75e9c8ca	CD8+ T CELLS	CD 8 T CELLS	GZMB;IFNG;PRF1	ENSG00000100453;ENSG00000111537;ENSG00000180644
3	324	biorxiv|611722dd-8008-1014-b70e-fa0b81b0ac37|GZMH+ CD8+ T CELL	biorxiv:611722dd-8008-1014-b70e-fa0b81b0ac37	GZMH+ CD8+ T CELL	GZMH CD 8 T CELL	GZMH;GZMB;FGFBP2;SPON2;PRF1	ENSG00000100450;ENSG00000100453;ENSG00000137441;ENSG00000159674;ENSG00000180644
3	354	biorxiv|6f28f2e1-6c20-1014-910c-d12c701e7668|CYTOTOXIC	biorxiv:6f28f2e1-6c20-1014-910c-d12c701e7668	CYTOTOXIC	CYTOTOXIC	GZMB;GNLY;PRF1	ENSG00000100453;ENSG00000115523;ENSG00000180644
3	360	biorxiv|6f28f2e1-6c20-1014-910c-d12c701e7668|NKCYTO	biorxiv:6f28f2e1-6c20-1014-910c-d12c701e7668	NKCYTO	NKCYTO	GZMB;GNLY;PRF1;FCGR3A	ENSG00000100453;ENSG00000115523;ENSG00000180644;ENSG00000203747
3	481	biorxiv|96c0ca44-7598-1014-bd6e-c97aae1f298a|ACTIVE NK CELL	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	ACTIVE NK CELL	ACTIVE NK CELL	IFNG;PRF1;TNF	ENSG00000111537;ENSG00000180644;ENSG00000204490
3	556	biorxiv|9f9eded3-6d6e-1014-996d-af8f6f192d54|ACTIVATED MEMORY CELL	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	ACTIVATED MEMORY CELL	ACTIVATED MEMORY CELL	GZMH;GZMB;IFNG;GNLY;GZMA	ENSG00000100450;ENSG00000100453;ENSG00000111537;ENSG00000115523;ENSG00000145649
3	568	biorxiv|9f9eded3-6d6e-1014-996d-af8f6f192d54|NK CELL	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	NK CELL	NK CELL	GZMB;IFNG;GNLY;KLF2;NCAM1;PRF1;FCGR3A	ENSG00000100453;ENSG00000111537;ENSG00000115523;ENSG00000127528;ENSG00000149294;ENSG00000180644;ENSG00000203747
3	808	biorxiv|e2efdcad-73c4-1014-9c6c-8a89f519fd2d|CD4.7	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.7	CD 4 7	GZMH;IFNG;GZMA;PRF1;CCL5;CCL3;CCL4	ENSG00000100450;ENSG00000111537;ENSG00000145649;ENSG00000180644;ENSG00000271503;ENSG00000274221;ENSG00000275302
3	811	biorxiv|e2efdcad-73c4-1014-9c6c-8a89f519fd2d|CD8.3	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD8.3	CD 8 3	NKG7;GNLY;FGFBP2;PRF1;FCGR3A	ENSG00000105374;ENSG00000115523;ENSG00000137441;ENSG00000180644;ENSG00000203747
3	813	biorxiv|e2efdcad-73c4-1014-9c6c-8a89f519fd2d|CD8.5	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD8.5	CD 8 5	NKG7;GNLY;FGFBP2;PRF1;FCGR3A	ENSG00000105374;ENSG00000115523;ENSG00000137441;ENSG00000180644;ENSG00000203747
3	915	biorxiv|f3be1d12-72db-1014-a9a0-ac8d78e3151e|CD8T_GZMB	biorxiv:f3be1d12-72db-1014-a9a0-ac8d78e3151e	CD8T_GZMB	CD 8 T GZMB	GZMB;GZMA;PRF1	ENSG00000100453;ENSG00000145649;ENSG00000180644
3	1060	hca|0032_10.15252_msb.20209682_ea064ade0e|CYTOTOXIC T CELL	hca:0032_10.15252_msb.20209682_ea064ade0e	CYTOTOXIC T CELL	CYTOTOXIC T CELL	NKG7;GZMK;CCL5	ENSG00000105374;ENSG00000113088;ENSG00000271503
3	1465	hca|0099_10.1126_sciimmunol.abl9165_5f9974d5f2|ILC/NK	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	ILC/NK	ILC NK	GZMB;GNLY;KLRD1;PRF1	ENSG00000100453;ENSG00000115523;ENSG00000134539;ENSG00000180644
3	1472	hca|0099_10.1126_sciimmunol.abl9165_5f9974d5f2|NK	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	NK	NK	GZMB;GNLY;KLRD1;PRF1	ENSG00000100453;ENSG00000115523;ENSG00000134539;ENSG00000180644
3	1573	hca|0123_10.1371_journal.pone.0267704_5a8157f0f3|CYTOTOXIC T CELL	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3	CYTOTOXIC T CELL	CYTOTOXIC T CELL	GZMB;GZMK;PRF1	ENSG00000100453;ENSG00000113088;ENSG00000180644
3	1598	hca|0124_10.1126_science.aba6500_a77c502bf7|NK	hca:0124_10.1126_science.aba6500_a77c502bf7	NK	NK	GZMB;GNLY;KLRD1;PRF1;FCGR3A	ENSG00000100453;ENSG00000115523;ENSG00000134539;ENSG00000180644;ENSG00000203747
3	1742	hca|0161_10.1681_asn.2020030326_bf5d42b566|RECIPIENT T CELL	hca:0161_10.1681_asn.2020030326_bf5d42b566	RECIPIENT T CELL	RECIPIENT T CELL	GZMB;NKG7;GNLY;PRF1	ENSG00000100453;ENSG00000105374;ENSG00000115523;ENSG00000180644
3	1743	hca|0161_10.1681_asn.2020030326_bf5d42b566|SUBCLUSTER 2	hca:0161_10.1681_asn.2020030326_bf5d42b566	SUBCLUSTER 2	SUBCLUSTER 2	GZMB;GNLY;PRF1	ENSG00000100453;ENSG00000115523;ENSG00000180644
3	1801	hca|0182_10.1126_sciimmunol.abk1741_33c534a538|CLUSTER 2	hca:0182_10.1126_sciimmunol.abk1741_33c534a538	CLUSTER 2	CLUSTER 2	CXCR6;PRF1;TNF	ENSG00000172215;ENSG00000180644;ENSG00000204490
3	1828	hca|0190_10.1038_s41467-019-14118-w_eee71dc5ea|CD4TC #0	hca:0190_10.1038_s41467-019-14118-w_eee71dc5ea	CD4TC #0	CD 4 TC 0	GZMB;PRF1;CCL5	ENSG00000100453;ENSG00000180644;ENSG00000271503
3	1832	hca|0190_10.1038_s41467-019-14118-w_eee71dc5ea|NK1	hca:0190_10.1038_s41467-019-14118-w_eee71dc5ea	NK1	NK 1	NKG7;GNLY;PRF1;FCGR3A	ENSG00000105374;ENSG00000115523;ENSG00000180644;ENSG00000203747
3	2003	hca|0233_10.1038_s41590-025-02241-4_110ace5bba|LUNG T RM CELL	hca:0233_10.1038_s41590-025-02241-4_110ace5bba	LUNG T RM CELL	LUNG T RM CELL	GZMH;IFNG;GZMA;CTLA4;PRF1	ENSG00000100450;ENSG00000111537;ENSG00000145649;ENSG00000163599;ENSG00000180644
3	2094	hca|0264_10.1186_s13059-022-02677-z_ec9d743757|CD8+GZMB	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CD8+GZMB	CD 8 GZMB	GZMH;IFNG;GZMA;PRF1;CCL4	ENSG00000100450;ENSG00000111537;ENSG00000145649;ENSG00000180644;ENSG00000275302
3	2095	hca|0264_10.1186_s13059-022-02677-z_ec9d743757|CD8+GZMK	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CD8+GZMK	CD 8 GZMK	GZMH;IFNG;KLRG1;GZMA;EOMES;CCL4	ENSG00000100450;ENSG00000111537;ENSG00000139187;ENSG00000145649;ENSG00000163508;ENSG00000275302
3	2370	hca|0318_10.1158_1078-0432.ccr-19-0148_d4eb569329|CD8+ TILS	hca:0318_10.1158_1078-0432.ccr-19-0148_d4eb569329	CD8+ TILS	CD 8 TILS	ITGAE;GZMB;CD69;CD27;GZMA;PRF1	ENSG00000083457;ENSG00000100453;ENSG00000110848;ENSG00000139193;ENSG00000145649;ENSG00000180644
3	2371	hca|0319_10.1016_j.cell.2018.05.060_d1a05e99e8|CYTOTOXIC T, NK	hca:0319_10.1016_j.cell.2018.05.060_d1a05e99e8	CYTOTOXIC T, NK	CYTOTOXIC T NK	GZMH;GZMB;PFN1;GNLY;GZMA	ENSG00000100450;ENSG00000100453;ENSG00000108518;ENSG00000115523;ENSG00000145649
3	2440	hca|0345_10.3389_fimmu.2021.645666_15198bd9bb|NATURAL KILLER (NK) CELL	hca:0345_10.3389_fimmu.2021.645666_15198bd9bb	NATURAL KILLER (NK) CELL	NATURAL KILLER NK CELL	GZMB;NKG7;GNLY;NCR1	ENSG00000100453;ENSG00000105374;ENSG00000115523;ENSG00000189430
