source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	neighborhood	n_markers	n_local_private_markers	local_private_fraction	n_same_label_other_paper_profiles	n_same_label_other_paper_markers	marker_fraction_recovered_by_same_label_other_papers	local_private_fraction_recovered_by_same_label_other_papers	n_same_neighborhood_other_paper_profiles	marker_fraction_recovered_by_same_neighborhood_other_papers	local_private_marker_names
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	ACTIVATED B CELL	ACTIVATED B CELL	B cell	10	4	0.4	1	6	0.6	0.75	90	0.9	CD38; CD27; ITGAX; CXCR5
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	ACTIVATED CD4+ T CELL	ACTIVATED CD 4 T CELL	T cell	4	1	0.25	0	0			252	1.0	CD28
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	ACTIVATED CELL	ACTIVATED CELL		5	1	0.2	0	0			0		GZMK
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	ACTIVATED MEMORY CELL	ACTIVATED MEMORY CELL		5	1	0.2	0	0			0		GZMH
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	ACTIVATED NK CELL	ACTIVATED NK CELL	NK cell	4	3	0.75	1	4	0.0	0.0	59	0.0	IFI6; LY6E; IFI27
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	ACTIVATED T CELL	ACTIVATED T CELL	T cell	7	0	0.0	1	5	0.7142857142857143		252	1.0	
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	AGE-ASSOCIATED B CELL	AGE ASSOCIATED B CELL	B cell	3	0	0.0	0	0			90	1.0	
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	CD4+ T CELL	CD 4 T CELL	T cell	5	3	0.6	16	87	0.2	0.3333333333333333	252	0.6	CD4; MAPK1; TAB1
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	CLUSTER 3 CELL	CLUSTER 3 CELL		3	1	0.3333333333333333	0	0			0		IL7R
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	DN2 CELL	DN 2 CELL	B cell	5	2	0.4	1	4	0.8	1.0	90	1.0	TRAF5; FCRL5
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	LPS2	LPS 2		5	3	0.6	1	3	0.6	1.0	0		CCL7; CCL8; PPBP
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	LPS3	LPS 3		12	9	0.75	1	4	0.3333333333333333	0.4444444444444444	0		PTGS2; IL1A; CCL20; TNFAIP6; IDO1; IL6; IL10; TNIP1; HLA-E
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	MAIT CELL	MAIT CELL	T cell	3	1	0.3333333333333333	1	5	0.3333333333333333	0.0	252	1.0	RORC
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	MEMORY CELL	MEMORY CELL		5	2	0.4	0	0			0		CCR4; CXCR3
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	MONOCYTE	MONOCYTE	monocyte/macrophage	6	3	0.5	23	64	0.6666666666666666	0.3333333333333333	202	0.8333333333333334	MT2A; CXCL8; MT1F
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	NK CELL	NK CELL	NK cell	7	4	0.5714285714285714	15	48	0.7142857142857143	0.75	59	1.0	KLF2; NCAM1; PRF1; FCGR3A
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	NK CELLS IN CLUSTER 4	NK CELLS IN CLUSTER 4	NK cell	5	1	0.2	0	0			59	0.8	XCL1
biorxiv	9f9eded3-6d6e-1014-996d-af8f6f192d54	biorxiv:9f9eded3-6d6e-1014-996d-af8f6f192d54	OTHER MEMORY CELL	OTHER MEMORY CELL		3	0	0.0	1	3	1.0		0		
biorxiv	a0900ed8-7609-1014-846c-dd411913591f	biorxiv:a0900ed8-7609-1014-846c-dd411913591f	CD34+ CLUSTER	CD 34 CLUSTER		9	7	0.7777777777777778	0	0			0		ACTB; GAPDH; LYVE1; THY1; PDPN; LY6H; S100A6
biorxiv	a0900ed8-7609-1014-846c-dd411913591f	biorxiv:a0900ed8-7609-1014-846c-dd411913591f	CD34+ VASCULAR ENDOTHELIAL CELL	CD 34 VASCULAR ENDOTHELIAL CELL	endothelial	4	2	0.5	0	0			73	0.75	PDGFRA; PECAM1
biorxiv	a0900ed8-7609-1014-846c-dd411913591f	biorxiv:a0900ed8-7609-1014-846c-dd411913591f	CD34- LYMPHATIC ENDOTHELIAL CELL	CD 34 LYMPHATIC ENDOTHELIAL CELL	endothelial	3	0	0.0	0	0			73	0.3333333333333333	
biorxiv	a0900ed8-7609-1014-846c-dd411913591f	biorxiv:a0900ed8-7609-1014-846c-dd411913591f	CD34-CLUSTER	CD 34 CLUSTER		6	4	0.6666666666666666	0	0			0		DTX4; DTX1; HEY1; CTNNB1
biorxiv	a0900ed8-7609-1014-846c-dd411913591f	biorxiv:a0900ed8-7609-1014-846c-dd411913591f	KSHV-POSITIVE CELL	KSHV POSITIVE CELL		4	3	0.75	0	0			0		FLT4; KCNJ2; MRC1
biorxiv	a0900ed8-7609-1014-846c-dd411913591f	biorxiv:a0900ed8-7609-1014-846c-dd411913591f	T CELL	T CELL	T cell	3	3	1.0	37	68	1.0	1.0	255	1.0	CD2; CD8A; CD3E
biorxiv	a4dfbfd9-7f07-1014-9596-9cebe6ee6cbb	biorxiv:a4dfbfd9-7f07-1014-9596-9cebe6ee6cbb	TH17 CELL	TH 17 CELL		5	5	1.0	0	0			0		RORA; CCR6; RORC; CCR5; STAT3
biorxiv	a54482c5-73e0-1014-b3b0-b8dec8f62e56	biorxiv:a54482c5-73e0-1014-b3b0-b8dec8f62e56	FIBROBLAST CELL CLUSTER	FIBROBLAST CELL CLUSTER	fibroblast/stromal	3	3	1.0	0	0			149	0.6666666666666666	EBF1; COL3A1; DLK1
biorxiv	a63583e3-6c7b-1014-a201-b82bec671474	biorxiv:a63583e3-6c7b-1014-a201-b82bec671474	ADRENAL CORTEX	ADRENAL CORTEX		13	9	0.6923076923076923	0	0			0		CXCR4; NR5A1; CLRN1; MIR202HG; NR0B1; DLK1; CYP21A2; LGR4; FAM166B
biorxiv	a63583e3-6c7b-1014-a201-b82bec671474	biorxiv:a63583e3-6c7b-1014-a201-b82bec671474	DZ	DZ		4	1	0.25	1	4	0.0	0.0	0		NOV
biorxiv	a63583e3-6c7b-1014-a201-b82bec671474	biorxiv:a63583e3-6c7b-1014-a201-b82bec671474	FETAL ZONE	FETAL ZONE		3	3	1.0	0	0			0		IGF1R; IGF2; IGF2R
biorxiv	a63583e3-6c7b-1014-a201-b82bec671474	biorxiv:a63583e3-6c7b-1014-a201-b82bec671474	FZ	FZ		8	4	0.5	0	0			0		POR; SULT2A1; CYP17A1; CYB5A
biorxiv	a63583e3-6c7b-1014-a201-b82bec671474	biorxiv:a63583e3-6c7b-1014-a201-b82bec671474	MESENCHYME	MESENCHYME		3	2	0.6666666666666666	0	0			0		CXCL12; RSPO3
biorxiv	a63583e3-6c7b-1014-a201-b82bec671474	biorxiv:a63583e3-6c7b-1014-a201-b82bec671474	ZONA GLOMERULOSA-LIKE CLUSTER	ZONA GLOMERULOSA LIKE CLUSTER		5	2	0.4	0	0			0		NR4A1; NR4A2
biorxiv	a6f25093-6d09-1014-a4b3-a2ea051baaac	biorxiv:a6f25093-6d09-1014-a4b3-a2ea051baaac	HIGH-SHIFT	HIGH SHIFT		6	6	1.0	0	0			0		PROCR; UNC5B; TLR3; PCDH19; SEMA6B; SLITRK6
biorxiv	a6ffed23-717d-1014-ae02-d2e67f78dddd	biorxiv:a6ffed23-717d-1014-ae02-d2e67f78dddd	MAST CELL	MAST CELL		3	3	1.0	14	19	1.0	1.0	0		CPA3; MS4A2; TPSAB1
biorxiv	a6ffed23-717d-1014-ae02-d2e67f78dddd	biorxiv:a6ffed23-717d-1014-ae02-d2e67f78dddd	MYELOID CELL	MYELOID CELL	monocyte/macrophage	3	3	1.0	9	27	0.3333333333333333	0.3333333333333333	202	1.0	LYZ; C1QB; AIF1
biorxiv	a6ffed23-717d-1014-ae02-d2e67f78dddd	biorxiv:a6ffed23-717d-1014-ae02-d2e67f78dddd	T CELL	T CELL	T cell	3	3	1.0	37	68	1.0	1.0	255	1.0	CD4; CD8A; CD3D
biorxiv	a83150af-6e3c-1014-8107-a71f7784ca4d	biorxiv:a83150af-6e3c-1014-8107-a71f7784ca4d	RPE	RPE		3	3	1.0	2	13	0.3333333333333333	0.3333333333333333	0		SLC16A8; RPE65; TSPAN10
biorxiv	a96dba70-6cf7-1014-a294-bf2ca6d364a0	biorxiv:a96dba70-6cf7-1014-a294-bf2ca6d364a0	CLUSTER 2	CLUSTER 2		9	8	0.8888888888888888	18	93	0.1111111111111111	0.125	0		CDC27; AURKA; CDC20; KIF2C; PTTG1; PLK1; BUB1; AURKB
biorxiv	a96dba70-6cf7-1014-a294-bf2ca6d364a0	biorxiv:a96dba70-6cf7-1014-a294-bf2ca6d364a0	CLUSTER 3	CLUSTER 3		16	15	0.9375	11	71	0.0625	0.06666666666666667	0		DGKD; HIF1A; RPL34; KRT18; HLF; TUBA1B; RPS12; MET; ERBB2; AKT1; RPS27A; EGFR; SMAD3; PTCRA; RPL4
biorxiv	a96dba70-6cf7-1014-a294-bf2ca6d364a0	biorxiv:a96dba70-6cf7-1014-a294-bf2ca6d364a0	CLUSTER 4	CLUSTER 4		8	8	1.0	10	63	0.0	0.0	0		CFLAR; SLC25A39; SYNE2; TGFB1; ILK; CTNNB1; ZEB2; MALAT1
biorxiv	a9b298c9-7797-1014-9b95-8bbbe23c746a	biorxiv:a9b298c9-7797-1014-9b95-8bbbe23c746a	ACTIVATED NK CELL	ACTIVATED NK CELL	NK cell	4	4	1.0	1	4	0.0	0.0	60	0.75	CD69; IFNG; GPR183; KIR2DL4
biorxiv	a9b298c9-7797-1014-9b95-8bbbe23c746a	biorxiv:a9b298c9-7797-1014-9b95-8bbbe23c746a	RESTING NK CELL	RESTING NK CELL	NK cell	3	3	1.0	0	0			60	0.3333333333333333	TTC38; GZMK; CD160
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	B CELL	B CELL	B cell	5	1	0.2	29	48	0.6	1.0	92	0.8	MS4A1
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	CLUSTERS 14-16	CLUSTERS 14 16		3	1	0.3333333333333333	0	0			0		LYN
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	CLUSTERS 2-4	CLUSTERS 2 4		4	3	0.75	0	0			0		GATA1; KIT; TAL1
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	EXHAUSTED T CELL	EXHAUSTED T CELL	T cell	5	5	1.0	0	0			253	1.0	CD38; CD101; HAVCR2; CTLA4; PDCD1
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	MDC	MDC		3	1	0.3333333333333333	0	0			0		CEBPA
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	MDCS AND TISSUE MACROPHAGE	MDCS AND TISSUE MACROPHAGE	monocyte/macrophage	3	2	0.6666666666666666	0	0			201	0.3333333333333333	CD86; FLT3
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	MONOCYTE	MONOCYTE	monocyte/macrophage	3	2	0.6666666666666666	23	64	0.3333333333333333	0.5	201	0.6666666666666666	CD14; TREML4
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	T CELL	T CELL	T cell	6	3	0.5	37	68	1.0	1.0	253	1.0	TBX21; TCF7; EOMES
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	T CELL CLUSTER	T CELL CLUSTER	T cell	3	0	0.0	0	0			253	1.0	
biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	T FOLLICULAR HELPER (TFH) CELL	T FOLLICULAR HELPER TFH CELL		3	3	1.0	0	0			0		IL21; CXCR5; BTLA
biorxiv	ab2a1489-7001-1014-b2bf-f5e47d205c33	biorxiv:ab2a1489-7001-1014-b2bf-f5e47d205c33	CANCER-ASSOCIATED FIBROBLAST	CANCER ASSOCIATED FIBROBLAST	fibroblast/stromal	5	5	1.0	3	10	0.0	0.0	149	0.6	NOTCH3; MCAM; CHI3L1; RGS5; TMEM158
biorxiv	ab2a1489-7001-1014-b2bf-f5e47d205c33	biorxiv:ab2a1489-7001-1014-b2bf-f5e47d205c33	DERMAL PAPILLA	DERMAL PAPILLA		4	4	1.0	0	0			0		RSPO4; EDN3; IGFBP3; DKK2
biorxiv	acd52af7-6c95-1014-8d0b-873ff14c4a57	biorxiv:acd52af7-6c95-1014-8d0b-873ff14c4a57	MOL	MOL		12	12	1.0	0	0			0		ANLN; SOX10; PLLP; PADI2; PLP1; MYRF; PMP2; GSN; CMTM5; MOBP; CNP; MBP
biorxiv	acd52af7-6c95-1014-8d0b-873ff14c4a57	biorxiv:acd52af7-6c95-1014-8d0b-873ff14c4a57	NFO	NFO		5	5	1.0	0	0			0		FYN; BCAS1; BMP4; GPR17; ENPP6
biorxiv	acd52af7-6c95-1014-8d0b-873ff14c4a57	biorxiv:acd52af7-6c95-1014-8d0b-873ff14c4a57	OPC	OPC		5	5	1.0	4	16	0.6	0.6	0		VCAN; PTPRZ1; PDGFRA; PCDH15; CSPG4
biorxiv	ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CD4+ T CELL	CD 4 T CELL	T cell	28	3	0.10714285714285714	16	78	0.5357142857142857	0.0	251	0.8928571428571429	IL32; HCST; LCK
biorxiv	ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CD8+ T CELL	CD 8 T CELL	T cell	25	3	0.12	14	61	0.44	0.0	251	0.84	FYN; GADD45B; KLF2
biorxiv	ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CSF-UNEXPANDED T CELL	CSF UNEXPANDED T CELL	T cell	6	0	0.0	0	0			251	1.0	
biorxiv	ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CYTOTOXIC EFFECTOR CD8+ T CELL	CYTOTOXIC EFFECTOR CD 8 T CELL	T cell	12	2	0.16666666666666666	0	0			251	0.9166666666666666	PLEK; PRF1
biorxiv	ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	HIGHLY EXPANDED T CELL	HIGHLY EXPANDED T CELL	T cell	14	4	0.2857142857142857	0	0			251	0.9285714285714286	LDHB; KLRD1; GZMM; LTB
biorxiv	b01f00d1-6e6e-1014-8e4a-e846f4b1debe	biorxiv:b01f00d1-6e6e-1014-8e4a-e846f4b1debe	CLUSTER-1	CLUSTER 1		13	13	1.0	13	49	0.23076923076923078	0.23076923076923078	0		CXCL2; ICAM1; GADD45B; NFKBIA; CCL2; IL6; IER3; THBS1; PTX3; CXCL3; CXCL1; CXCL8; SOD2
biorxiv	b01f00d1-6e6e-1014-8e4a-e846f4b1debe	biorxiv:b01f00d1-6e6e-1014-8e4a-e846f4b1debe	CLUSTER-2	CLUSTER 2		3	3	1.0	18	98	0.0	0.0	0		SFRP4; SFRP2; CXCL14
biorxiv	b01f00d1-6e6e-1014-8e4a-e846f4b1debe	biorxiv:b01f00d1-6e6e-1014-8e4a-e846f4b1debe	CLUSTER-3	CLUSTER 3		15	12	0.8	11	72	0.06666666666666667	0.08333333333333333	0		LTBP1; MOXD1; MMP2; COMP; LOXL1; APP; DPT; COL8A1; MFAP4; LTBP2; COL3A1; BGN
biorxiv	b01f00d1-6e6e-1014-8e4a-e846f4b1debe	biorxiv:b01f00d1-6e6e-1014-8e4a-e846f4b1debe	CLUSTER-4	CLUSTER 4		11	9	0.8181818181818182	10	60	0.0	0.0	0		TNC; TIMP1; COL1A1; FN1; TUBA1B; SH3BGRL3; CTHRC1; S100A16; TPM2
biorxiv	b01f00d1-6e6e-1014-8e4a-e846f4b1debe	biorxiv:b01f00d1-6e6e-1014-8e4a-e846f4b1debe	MYOFIBROBLAST	MYOFIBROBLAST		4	2	0.5	7	41	0.75	1.0	0		ACTA2; TAGLN
biorxiv	b3e65ef0-6e38-1014-8f8f-a6ec49a73092	biorxiv:b3e65ef0-6e38-1014-8f8f-a6ec49a73092	NEUTROPHIL	NEUTROPHIL		6	6	1.0	3	12	0.16666666666666666	0.16666666666666666	0		IL1R2; IL6ST; IL6R; CCR1; IL1RAP; CSF2RA
biorxiv	b4865554-70d4-1014-b98c-d54405b178ea	biorxiv:b4865554-70d4-1014-b98c-d54405b178ea	AML BLAST	AML BLAST		4	0	0.0	0	0			0		
biorxiv	b4865554-70d4-1014-b98c-d54405b178ea	biorxiv:b4865554-70d4-1014-b98c-d54405b178ea	LYMPHOCYTE	LYMPHOCYTE		4	0	0.0	4	17	0.25		0		
biorxiv	b4865554-70d4-1014-b98c-d54405b178ea	biorxiv:b4865554-70d4-1014-b98c-d54405b178ea	MONOCYTE	MONOCYTE	monocyte/macrophage	4	0	0.0	23	62	0.0		202	0.25	
biorxiv	b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	ASTROCYTE	ASTROCYTE		9	6	0.6666666666666666	7	25	0.4444444444444444	0.6666666666666666	0		SLC1A2; CLU; GFAP; AQP4; C8G; C4A
biorxiv	b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	ENDOTHELIAL CELL	ENDOTHELIAL CELL	endothelial	22	19	0.8636363636363636	27	98	0.22727272727272727	0.2631578947368421	74	0.2727272727272727	CFH; MASP2; CD59; FLT1; VWF; CD46; COLEC11; FCN3; SERPING1; C1R; CXCL10; CALR; C1S; CLDN5; COLEC10; CD55; CFD; CFI; PECAM1
biorxiv	b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	EPENDYMAL CELL	EPENDYMAL CELL		8	5	0.625	0	0			0		C6; FOXJ1; RSPH1; CFAP54; C4B
biorxiv	b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	EXCITATORY NEURON	EXCITATORY NEURON		13	6	0.46153846153846156	4	17	0.15384615384615385	0.3333333333333333	0		SLC17A7; NPTX2; C1QBP; NPTX1; NRP2; NPTXR
biorxiv	b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	INHIBITORY NEURON	INHIBITORY NEURON		6	3	0.5	2	4	0.16666666666666666	0.3333333333333333	0		GAD1; GAD2; C2
biorxiv	b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	MICROGLIA	MICROGLIA	monocyte/macrophage	16	13	0.8125	17	84	0.5	0.5384615384615384	202	0.625	APBB1IP; C3; C5AR2; ITGAX; VSIG4; C1QC; ITGB2; CX3CR1; P2RY12; ITGAM; C3AR1; C1QB; C1QA
biorxiv	b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	OLIGODENDROCYTE	OLIGODENDROCYTE		5	4	0.8	6	15	0.8	1.0	0		PLP1; MOG; MOBP; MBP
biorxiv	b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	OPC	OPC		7	3	0.42857142857142855	4	13	0.2857142857142857	0.6666666666666666	0		PDGFRA; CSPG4; OLIG1
biorxiv	b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	T CELL	T CELL	T cell	4	4	1.0	37	67	0.75	0.75	255	1.0	CR2; CD3D; CD3E; TRBC2
biorxiv	b629f2a0-6f39-1014-bcfe-d40330cad081	biorxiv:b629f2a0-6f39-1014-bcfe-d40330cad081	LUMINAL EPITHELIAL	LUMINAL EPITHELIAL	epithelial	3	3	1.0	1	4	0.0	0.0	123	0.0	NR3C1; FOXA1; AR
biorxiv	b629f2a0-6f39-1014-bcfe-d40330cad081	biorxiv:b629f2a0-6f39-1014-bcfe-d40330cad081	NEUROENDOCRINE-LIKE	NEUROENDOCRINE LIKE		5	4	0.8	0	0			0		CHGA; NRF1; ONECUT2; SCG2
biorxiv	b629f2a0-6f39-1014-bcfe-d40330cad081	biorxiv:b629f2a0-6f39-1014-bcfe-d40330cad081	STEM-LIKE/PROGENITOR	STEM LIKE PROGENITOR		3	0	0.0	0	0			0		
biorxiv	b629f2a0-6f39-1014-bcfe-d40330cad081	biorxiv:b629f2a0-6f39-1014-bcfe-d40330cad081	STEM/PROGENITOR	STEM PROGENITOR		4	0	0.0	0	0			0		
biorxiv	b71d9b5e-6f1d-1014-9408-ec8c7da502b4	biorxiv:b71d9b5e-6f1d-1014-9408-ec8c7da502b4	IMMUNE CELL	IMMUNE CELL		4	0	0.0	6	37	0.25		0		
biorxiv	b71d9b5e-6f1d-1014-9408-ec8c7da502b4	biorxiv:b71d9b5e-6f1d-1014-9408-ec8c7da502b4	T CELL	T CELL	T cell	4	0	0.0	37	66	0.5		255	0.75	
biorxiv	b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	BEST4	BEST 4		3	3	1.0	0	0			0		BEST4; OTOP2; SPIB
biorxiv	b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	CN5	CN 5		5	5	1.0	0	0			0		IDO1; CXCL3; CXCL1; CXCL10; CXCL11
biorxiv	b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	COLONOCYTE-LIKE	COLONOCYTE LIKE		4	4	1.0	0	0			0		CEACAM7; FABP1; ANPEP; PMEL
biorxiv	b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	GOBLET-LIKE	GOBLET LIKE	epithelial	4	4	1.0	0	0			123	1.0	ATOH1; ZG16; MUC2; FCGBP
biorxiv	b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	TA-LIKE	TA LIKE		5	5	1.0	0	0			0		HELLS; TOP2A; PCLAF; TK1; UBE2C
biorxiv	b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	TAN	TAN		3	3	1.0	0	0			0		VEGFA; PLAU; OLR1
biorxiv	b88cbe76-6c0b-1014-a018-e498be98267a	biorxiv:b88cbe76-6c0b-1014-a018-e498be98267a	M1	M 1		20	20	1.0	2	7	0.05	0.05	0		SP100; NFKB2; JAK2; RIPK2; JAK3; NFKB1; CD86; STAT1; GBP1; IDO1; MYL; NCOR1; MX1; STAT3; RAF1; RELA; JUN; MAPK11; ISG15; SRC
biorxiv	b88cbe76-6c0b-1014-a018-e498be98267a	biorxiv:b88cbe76-6c0b-1014-a018-e498be98267a	M2A	M 2 A		20	15	0.75	0	0			0		WNK1; MAST2; MAST3; KLF2; ETS1; PDPK1; STAT6; PAK2; IRAK1; HSF1; LRRK2; NCOR2; IRAK4; MAFB; MRC1
biorxiv	b88cbe76-6c0b-1014-a018-e498be98267a	biorxiv:b88cbe76-6c0b-1014-a018-e498be98267a	M2C	M 2 C		7	2	0.2857142857142857	0	0			0		CAMKK2; FES
biorxiv	b88cbe76-6c0b-1014-a018-e498be98267a	biorxiv:b88cbe76-6c0b-1014-a018-e498be98267a	MACROPHAGE	MACROPHAGE	monocyte/macrophage	3	3	1.0	28	71	0.3333333333333333	0.3333333333333333	202	1.0	LYZ; CD14; AIF1
biorxiv	b9f9eea1-7c5b-1014-87f0-cbc500249f07	biorxiv:b9f9eea1-7c5b-1014-87f0-cbc500249f07	DENDRITIC CELL	DENDRITIC CELL	dendritic cell	3	3	1.0	6	28	0.0	0.0	40	0.0	SDC2; GPC6; C5AR1
biorxiv	b9f9eea1-7c5b-1014-87f0-cbc500249f07	biorxiv:b9f9eea1-7c5b-1014-87f0-cbc500249f07	MACROPHAGE	MACROPHAGE	monocyte/macrophage	3	3	1.0	28	70	0.0	0.0	202	0.0	RNF144B; ABR; RBM47
biorxiv	ba2fe3cc-7145-1014-8950-ece91a9c7114	biorxiv:ba2fe3cc-7145-1014-8950-ece91a9c7114	T-CELL	T CELL	T cell	3	3	1.0	37	68	1.0	1.0	255	1.0	CD4; CD8A; CD3E
biorxiv	bb35967a-6c41-1014-8bd7-fd658527e3eb	biorxiv:bb35967a-6c41-1014-8bd7-fd658527e3eb	EPITHELIAL	EPITHELIAL	epithelial	4	4	1.0	3	10	0.0	0.0	123	0.5	ACP5; ITGB4; PROM2; KRT5
biorxiv	bb90a40e-70a1-1014-887a-db6e99ca95cb	biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb	ACINAR CELL	ACINAR CELL		6	6	1.0	6	18	0.16666666666666666	0.16666666666666666	0		CELA2A; RPS3A; RPL13; MT-CO2; MT-CO1; AMY2B
biorxiv	bb90a40e-70a1-1014-887a-db6e99ca95cb	biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb	B CELL	B CELL	B cell	4	3	0.75	29	47	0.25	0.0	92	0.25	AKT1; RAB28; EIF1AY
biorxiv	bb90a40e-70a1-1014-887a-db6e99ca95cb	biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb	BETA CELL	BETA CELL		4	2	0.5	9	65	0.0	0.0	0		CTRB2; CELA3B
